POPID,Female,Male,Chromosomes,Group,FemaleGM,MaleGM
POP523,Star-8,ICE49,NA,Normal,73,42
POP528,Star-8,Cdm-0,NA,Normal,73,6
POP014,ICE49,Star-8,NA,Normal,42,73
POP051,ICE112,Star-8,NA,Normal,18,73
POP143,ICE21,Star-8,NA,Normal,36,73
POP233,ICE93,Star-8,NA,Normal,56,73
POP504,Qui-0,Star-8,NA,Normal,70,73
POP576,WalhaesB4,Star-8,NA,Normal,80,73
POP524,Star-8,ICE104,Chr1,Distorted,73,14
POP525,Star-8,ICE106,Chr1,Distorted,73,15
POP526,Star-8,ICE130,Chr1,Distorted,73,22
POP527,Star-8,ICE228,Chr1,Distorted,73,38
POP529,Star-8,Fei-0,Chr1,Distorted,73,11
POP530,Star-8,Vie-0,Chr1,Distorted,73,79
POP032,ICE63,Star-8,Chr1,Distorted,46,73
POP151,ICE29,Star-8,Chr1,Distorted,39,73
POP328,ICE138,Star-8,NA,NA,24,73
POP342,ICE152,Star-8,Chr1,Distorted,26,73
POP360,ICE173,Star-8,Chr1,Distorted,30,73
POP521,Sha,Star-8,Chr1,Distorted,72,73
